"ID","Player","Team","Position","RkOv","Status","Age","Opponent","FPts","FP/G","Ros"
"*0044j*","Nick Ross","(N/A)","D","6771","FA","36","","0","0","0%"
"*02frb*","Antoine Roussel","(N/A)","LW","6778","FA","35","","0","0","0%"
"*01f6n*","Charles-Olivier Roussel","(N/A)","D","6779","FA","33","","0","0","0%"
"*004ot*","Dany Roussin","(N/A)","LW","6780","FA","0","","0","0","0%"
"*01ud0*","Andrew Rowe","(N/A)","LW","6781","FA","37","","0","0","0%"
"*051x4*","Cameron Rowe","(N/A)","G","6782","FA","24","","0","0","0%"
"*03kis*","Jordan Rowley","(N/A)","D","6783","FA","35","","0","0","0%"
"*03wos*","Carter Rowney","(N/A)","C","6784","FA","36","","0","0","0%"
"*003hd*","Derek Roy","(N/A)","C","6785","FA","42","","0","0","0%"
"*031ql*","Eric Roy","(N/A)","D","6786","FA","30","","0","0","0%"
"*038ml*","Frederick Roy","BUF","LW","6787","FA","34","BOS 3<br/>@BUF 6 F","0","0","0%"
"*02nqn*","Kevin Roy","MTL","LW,RW","6790","FA","32","MTL 2<br/>@NSH 1 F","0","0","0%"
"*003qu*","Mathieu Roy","(N/A)","D","6792","FA","41","","0","0","0%"
"*01ge8*","Olivier Roy","(N/A)","G","6793","FA","34","","0","0","0%"
"*04r6d*","Nikita Rtishchev","(N/A)","RW","6795","FA","25","","0","0","0%"
"*05a8z*","Niklas Rubin","(N/A)","G","6796","FA","29","","0","0","0%"
"*04gec*","Mark Rubinchik","(N/A)","D","6797","FA","26","","0","0","0%"
"*061kz*","Rasmus Rudslatt","(N/A)","RW","6800","FA","19","","0","0","0%"
"*01s85*","Tyler Ruegsegger","TOR","C","6801","FA","37","","0","0","0%"
"*05gto*","Austin Rueschhoff","PIT","RW","6802","FA","27","PIT 1<br/>@CHI 3 F","0","0","0%"
"*004s6*","Rosario Ruggeri","(N/A)","D","6803","FA","0","","0","0","0%"
"*03rja*","Steven Ruggiero","ANA","D","6804","FA","28","","0","0","0%"
"*06qsa*","Rainers Rullers","(N/A)","C","6805","FA","20","","0","0","0%"
"*03woh*","Chris Rumble","(N/A)","D","6806","FA","35","","0","0","0%"
"*03ant*","Joel Rumpel","(N/A)","G","6807","FA","34","","0","0","0%"
"*01f3n*","David Rundblad","(N/A)","D","6808","FA","34","","0","0","0%"
